title,artist,summary,theme,core_feelings,access_ideas,visual,version_label,source,locale
Come Home,The Lens,Indie pop yearning to return to love and safety.,Longing & safe return,"[""gentle ache"", ""warm hope"", ""home pull""]","[""Soft indie delivery; build subtle chorus."", ""Visualize running back to safe embrace."", ""Keep tone tender and hopeful.""]",🏡💌 House light glowing at dusk,,,
Circle of Life,The Lion King,Majestic opening about life’s interconnectedness and awe.,Wonder & reverence,"[""awe"", ""primal life force"", ""hope""]","[""Start soft Zulu chant feel, open grand belts safely."", ""Visualize sunrise savannah animals gathering."", ""Stand tall and proud.""]",🦁🌅 Savanna sunrise animals,,,
Hakuna Matata,The Lion King,Playful carefree anthem about letting go of worries.,Carefree fun & joy,"[""humor"", ""friendship"", ""relief""]","[""Sing brightly with comedic timing."", ""Visualize jungle pals dancing worry-free."", ""Keep vibe silly and light.""]",🐗🦁 Jungle friends dancing,,,
Part of Your World,The Little Mermaid,Disney ballad of longing for freedom and new life above the sea.,Dreaming & yearning for change,"[""hopeful wonder"", ""restless desire"", ""innocence""]","[""Sing soft curious verses then lift into bright belt safely."", ""Visualize reaching for sun above ocean."", ""Let curiosity sparkle in phrasing.""]",🧜‍♀️🌊 Mermaid reaching surface,,,
Under the Sea,The Little Mermaid,Joyful Caribbean celebration of undersea life and fun.,Playful joy & contentment,"[""party"", ""colorful happiness"", ""cheer""]","[""Bounce rhythm lightly; crisp diction for fun."", ""Visualize lively coral reef party."", ""Keep energy sunny and light.""]",🐠🎶 Colorful sea parade,,,
Ho Hey,The Lumineers,Rustic indie love shout promising togetherness.,Love & belonging,"[""folk warmth"", ""hopeful plea"", ""communal joy""]","[""Gentle folk verses, joyful shouts safe."", ""Visualize barn wedding dance lights."", ""Clap and stomp lightly.""]",🏡💛 Rustic barn lights,,,
Stubborn Love,The Lumineers,Indie folk anthem about enduring love through hardship.,Resilient love & healing,"[""steadfast"", ""hurt and hope"", ""growth""]","[""Float raw tone, safe indie belts on chorus."", ""Visualize patching broken love with patience."", ""Keep stompy beat but supported.""]",🌲❤️ Cabin glowing in forest,,,
Birdland,The Manhattan Transfer,"Jazz vocalese tribute to legendary NYC club, electric and complex.",Celebration & jazz thrill,"[""swing excitement"", ""virtuosity"", ""city night joy""]","[""Precision fast scatting, breathe well."", ""Visualize neon NYC jazz club lights."", ""Keep blend tight and bright.""]",🎷🌃 Neon jazz club,,,
Bloodbuzz Ohio,The National,"Indie rock reflection on nostalgia, debt, and coming home.",Restless return & inner weight,"[""haunted memory"", ""hometown ache"", ""quiet power""]","[""Baritone steady, let words weigh heavy."", ""Visualize driving into Ohio dusk hometown."", ""Keep emotion controlled but deep.""]",🏠🌧️ Rainy Ohio road,,,
Hypnotize,The Notorious B.I.G.,Smooth braggadocious East Coast rap full of swagger.,Confidence & allure,"[""swagger"", ""luxury"", ""cool control""]","[""Deliver laid-back but commanding flow."", ""Visualize gold chains, city night ride."", ""Bounce with beat coolly.""]",💎🚘 City night luxury,,,
Juicy,The Notorious B.I.G.,Triumphant hip-hop rags-to-riches story celebrating success.,Victory & gratitude,"[""pride"", ""nostalgia"", ""hope""]","[""Smooth storytelling rap with joy."", ""Visualize young dreamer making it big."", ""Smile into gratitude lines.""]",🏆📻 Crown and boombox,,,
The Music of the Night,The Phantom of the Opera,Dark seductive invitation into mysterious world of music and passion.,Seduction & surrender to art,"[""mystery"", ""longing"", ""romantic danger""]","[""Warm legato; careful with high sustained notes."", ""Visualize candlelit underground lair."", ""Breathe deep in sensual phrasing.""]",🕯️🎭 Phantom mask and rose,,,
Every Breath You Take,The Police,Brooding pop-rock about obsession and watching lost love.,Obsession & haunting love,"[""dark devotion"", ""lonely ache"", ""yearning""]","[""Keep tone calm but tense; watch pitch control."", ""Visualize empty room watching beloved afar."", ""Subtle haunting delivery.""]",👁️💔 Watchful shadow window,,,
(I Can’t Get No) Satisfaction,The Rolling Stones,Rock frustration with modern life and desire for satisfaction.,Frustration & rebellion,"[""rebellion"", ""sexual frustration"", ""angst""]","[""Punch riff-driven phrasing safe but gritty."", ""Visualize city noise and advertising overload."", ""Move body loose but strong.""]",😤🎸 Electric frustration vibe,,,
"Paint It, Black",The Rolling Stones,Dark rock plea for colorless world after loss and pain.,Grief & numb despair,"[""mourning"", ""emptiness"", ""rage""]","[""Low controlled verses, sharp chorus belts safe."", ""Visualize painting whole world black grief."", ""Keep energy cathartic not harsh.""]",🖤🖌️ Black paint across rose,,,
My Girl,The Temptations,Sweet Motown ode to love’s simple joy and sunshine.,Pure love & happiness,"[""adoration"", ""warm joy"", ""sweet devotion""]","[""Smooth gentle phrasing; relaxed groove."", ""Visualize dancing with love in sunshine."", ""Smile bright and simple.""]",🌞💐 Sunshine and flowers,,,
The Lion Sleeps Tonight,The Tokens,Whimsical doo-wop lullaby about jungle peace and wonder.,Peaceful whimsy & jungle charm,"[""serene joy"", ""playful jungle"", ""comfort""]","[""Gentle falsetto safe; playful backing parts."", ""Visualize moonlit jungle and sleeping lion."", ""Keep light and dreamy.""]",🦁🌙 Jungle night peace,,,
It’s Raining Men,The Weather Girls,Camp disco celebration of love and sexual freedom raining down.,Exuberance & playful desire,"[""campy fun"", ""joyous lust"", ""dance power""]","[""Big belting safe; dance with groove."", ""Visualize disco storm of men raining."", ""Smile and belt diva joy.""]",💃🌧️ Disco rainstorm,,,
Blinding Lights,The Weeknd,Synthwave pop drive fueled by obsession and late-night yearning.,Thrill & dangerous love,"[""urgent desire"", ""neon nostalgia"", ""lonely chase""]","[""Steady controlled high notes; smooth falsetto."", ""Visualize neon city speeding at night."", ""Dance but keep breath under control.""]",🌃🚗 Neon night drive,,,
Komet,Udo Lindenberg & Apache 207,"German pop-rap about fleeting life, love, and burning bright.",Intensity & living fully,"[""epic love"", ""urgency"", ""freedom""]","[""Mix spoken-rap and sung parts with grit but support."", ""Visualize blazing comet through night sky."", ""Keep passion safe on high notes.""]",☄️❤️ Flaming comet across dark sky,,,
Climax,Usher,Minimalist R&B about passion fading and heartbreak at tipping point.,Tension & heartbreak,"[""longing"", ""pain"", ""fragile intimacy""]","[""Falsetto supported but gentle; controlled dynamic build."", ""Visualize relationship breaking quietly."", ""Stay intimate and restrained.""]",🌌💔 Dim neon and fading sparks,,,
Confessions Part II,Usher,Emotional R&B confession of mistakes and guilt in love.,Guilt & vulnerability,"[""confession"", ""regret"", ""raw honesty""]","[""Smooth conversational phrasing; safe chest belts on chorus."", ""Visualize telling hard truth alone."", ""Breathe steady to hold control.""]",📖😔 Diary and tear,,,
Jump,Van Halen,80s arena rock anthem urging risk and seizing moment.,Exuberance & courage,"[""thrill"", ""fun"", ""fearless action""]","[""Powerful rock belts with safe mix; bounce rhythm."", ""Visualize diving into unknown joyfully."", ""Keep energy vibrant but controlled.""]",🏃‍♂️⚡ Neon jump silhouette,,,
From Afar,Vance Joy,Tender indie ballad about quiet unrequited love and distance.,Unrequited love & gentle ache,"[""melancholy"", ""tender longing"", ""acceptance""]","[""Soft indie delivery; breathy high notes safe."", ""Visualize loving from far but smiling sadly."", ""Keep mood wistful but warm.""]",🌅💌 Distant horizon love,,,
Last Christmas,Wham!,Bittersweet synthpop about heartbreak during the holidays.,Holiday heartbreak & nostalgia,"[""sad love"", ""Christmas memory"", ""moving on""]","[""Light pop tone with emotional tinge; safe mix on chorus."", ""Visualize snowy street after breakup."", ""Smile softly through bittersweet parts.""]",🎄💔 Broken heart ornament,,,
I Have Nothing,Whitney Houston,Powerhouse ballad begging to be loved fully and not abandoned.,Vulnerability & desperate love,"[""fear of loss"", ""pleading love"", ""soulful pain""]","[""Huge safe belt on chorus; careful support."", ""Visualize standing alone asking for love."", ""Ground before big emotional peaks.""]",🌹🎤 Rose spotlight solo,,,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Joyful 80s pop yearning for real love to dance away loneliness.,Loneliness & joyful desire,"[""party longing"", ""fun hope"", ""exuberance""]","[""Bright safe belts and playful rhythm."", ""Visualize vibrant dance floor with hope for love."", ""Keep moves light but supported.""]",💃🎉 Neon dance floor,,,
I Look to You,Whitney Houston,Soulful ballad finding strength and faith when lost.,Hope & renewal,"[""faith"", ""healing"", ""overcoming""]","[""Gentle gospel build with strong core support."", ""Visualize light breaking through clouds."", ""Stand tall, uplift at climax.""]",🌤️🙏 Light through clouds,,,
I Will Always Love You,Whitney Houston,Iconic farewell ballad of enduring love and letting go.,Bittersweet parting & eternal love,"[""goodbye love"", ""deep gratitude"", ""heartbreak""]","[""Soft tender intro then safe powerhouse chorus."", ""Visualize letting beloved go with love."", ""Support big sustained notes.""]",💔🌹 Farewell with white rose,,,
Defying Gravity,Wicked,Broadway anthem of self-empowerment and breaking free.,Freedom & self-belief,"[""power"", ""courage"", ""rebellion""]","[""Strong safe belts with mix, careful leaps high."", ""Visualize rising above fear and limits."", ""Stand powerful physically.""]",🧹✨ Witch flying free,,,
Love Is Fire,Working Royals,Indie anthem about passionate burning love and transformation.,Intense love & metamorphosis,"[""fire"", ""growth"", ""wild devotion""]","[""Controlled indie belts; warm chest resonance."", ""Visualize love igniting self into light."", ""Keep dynamic wide but safe.""]",🔥💞 Heart ablaze,,,
Tomorrow,Wyn Starks,Hopeful soul-pop about resilience and new beginnings.,Optimism & starting again,"[""hope"", ""fresh start"", ""joy""]","[""Bright but safe soulful belts; smile tone."", ""Visualize sunrise after hard night."", ""Keep energy light and encouraging.""]",🌅🎶 Rising sun hope,,,
C.R.E.A.M.,Wu-Tang Clan,"Iconic hip-hop about hustle, survival, and money’s double edge.",Survival & street reflection,"[""grit"", ""ambition"", ""harsh truth""]","[""Laid-back but rhythmic rap delivery; clear enunciation."", ""Visualize city streets and cash hustle."", ""Stay cool and grounded.""]",💵🏙️ Dollar over city,,,
Ich will leben,Xavier Naidoo,Emotional German soul ballad about wanting to live and love fully.,Yearning & inner fight,"[""life hunger"", ""hope"", ""deep pain""]","[""Sing warm German soul; strong but safe climaxes."", ""Visualize breaking chains to embrace life."", ""Let breath support emotion.""]",🌱💚 Growing heart from cracks,,,
Fire to the Sky,ZIAN,Passionate pop about chasing dreams and lighting up darkness.,Aspiration & fierce hope,"[""drive"", ""flame"", ""uplift""]","[""Steady build to soaring chorus; safe mix high."", ""Visualize shooting fire upward to stars."", ""Keep hope alive in tone.""]",🔥🌌 Shooting flame skyward,,,
Try Everything,Zootopia,Encouraging pop anthem about persistence and not giving up.,Resilience & cheerful bravery,"[""hope"", ""courage"", ""joyful fight""]","[""Energetic pop belts but safe; smile through delivery."", ""Visualize chasing dreams despite falls."", ""Dance lightly with beat.""]",🦊🏆 Zootopia skyline dreams,,,
